Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
234.05;0.96920;1071.5;25.136;86.533;358.49;87.438;397.05
234.27;0.97644;1070.7;25.319;86.919;358.54;87.831;397.11
234.48;0.98372;1070.0;25.504;87.305;358.60;88.224;397.17
234.69;0.99103;1069.2;25.690;87.691;358.65;88.618;397.23
234.90;0.99839;1068.4;25.877;88.078;358.70;89.012;397.28
235.11;1.0058;1067.7;26.065;88.464;358.75;89.406;397.34
235.33;1.0132;1066.9;26.255;88.851;358.81;89.801;397.40
235.54;1.0207;1066.1;26.445;89.238;358.86;90.196;397.46
235.75;1.0282;1065.4;26.636;89.625;358.91;90.591;397.51
235.96;1.0358;1064.6;26.829;90.013;358.96;90.986;397.57
236.17;1.0434;1063.8;27.023;90.400;359.01;91.381;397.62
236.39;1.0510;1063.0;27.218;90.788;359.06;91.777;397.68
236.60;1.0587;1062.3;27.413;91.176;359.12;92.173;397.74
236.81;1.0664;1061.5;27.610;91.564;359.17;92.569;397.79
237.02;1.0742;1060.7;27.809;91.952;359.22;92.965;397.84
237.23;1.0820;1059.9;28.008;92.341;359.27;93.362;397.90
237.45;1.0899;1059.1;28.209;92.730;359.31;93.759;397.95
237.66;1.0977;1058.4;28.410;93.119;359.36;94.156;398.00
237.87;1.1057;1057.6;28.613;93.508;359.41;94.553;398.06
238.08;1.1137;1056.8;28.817;93.897;359.46;94.951;398.11
238.29;1.1217;1056.0;29.022;94.286;359.51;95.349;398.16
238.51;1.1297;1055.2;29.228;94.676;359.56;95.747;398.21
238.72;1.1378;1054.4;29.436;95.066;359.60;96.145;398.26
238.93;1.1460;1053.7;29.645;95.456;359.65;96.544;398.31
239.14;1.1542;1052.9;29.855;95.846;359.70;96.943;398.36
239.35;1.1624;1052.1;30.066;96.237;359.75;97.342;398.41
239.57;1.1707;1051.3;30.278;96.628;359.79;97.741;398.46
239.78;1.1790;1050.5;30.491;97.019;359.84;98.141;398.50
239.99;1.1874;1049.7;30.706;97.410;359.88;98.541;398.55
240.20;1.1958;1048.9;30.922;97.801;359.93;98.941;398.60
240.41;1.2042;1048.1;31.139;98.192;359.97;99.341;398.65
240.63;1.2127;1047.3;31.358;98.584;360.02;99.742;398.69
240.84;1.2212;1046.5;31.578;98.976;360.06;100.14;398.74
