Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
279.62;4.1207;886.19;120.23;211.65;392.00;216.30;426.27
279.76;4.1360;885.20;120.81;212.01;391.91;216.68;426.15
279.91;4.1513;884.20;121.38;212.37;391.82;217.06;426.02
280.06;4.1666;883.20;121.97;212.73;391.73;217.44;425.89
280.20;4.1820;882.20;122.55;213.09;391.64;217.83;425.76
280.35;4.1974;881.19;123.14;213.45;391.54;218.21;425.63
280.49;4.2129;880.18;123.73;213.81;391.45;218.60;425.50
280.64;4.2284;879.16;124.33;214.17;391.36;218.98;425.37
280.79;4.2440;878.14;124.93;214.53;391.26;219.37;425.23
280.93;4.2596;877.12;125.53;214.90;391.16;219.75;425.10
281.08;4.2752;876.10;126.13;215.26;391.07;220.14;424.96
281.22;4.2909;875.07;126.74;215.63;390.97;220.53;424.82
281.37;4.3066;874.03;127.36;215.99;390.87;220.92;424.68
281.51;4.3224;873.00;127.97;216.36;390.77;221.31;424.54
281.66;4.3382;871.96;128.60;216.72;390.67;221.70;424.40
281.81;4.3541;870.91;129.22;217.09;390.56;222.09;424.26
281.95;4.3700;869.87;129.85;217.46;390.46;222.48;424.11
282.10;4.3859;868.81;130.48;217.83;390.36;222.87;423.97
282.24;4.4019;867.76;131.12;218.20;390.25;223.27;423.82
282.39;4.4180;866.70;131.76;218.56;390.14;223.66;423.68
282.54;4.4340;865.64;132.40;218.94;390.04;224.06;423.53
282.68;4.4502;864.57;133.05;219.31;389.93;224.45;423.38
282.83;4.4663;863.50;133.70;219.68;389.82;224.85;423.22
282.97;4.4825;862.43;134.36;220.05;389.71;225.25;423.07
283.12;4.4988;861.35;135.02;220.42;389.60;225.65;422.92
283.27;4.5151;860.26;135.68;220.80;389.48;226.05;422.76
283.41;4.5314;859.18;136.35;221.17;389.37;226.45;422.60
283.56;4.5478;858.08;137.02;221.55;389.26;226.85;422.44
283.70;4.5642;856.99;137.70;221.92;389.14;227.25;422.28
283.85;4.5807;855.89;138.38;222.30;389.02;227.65;422.12
283.99;4.5972;854.78;139.07;222.68;388.90;228.06;421.96
284.14;4.6138;853.67;139.76;223.06;388.78;228.46;421.80
284.29;4.6304;852.56;140.46;223.43;388.66;228.87;421.63
284.43;4.6471;851.44;141.16;223.81;388.54;229.27;421.46
284.58;4.6638;850.32;141.86;224.20;388.42;229.68;421.29
284.72;4.6805;849.19;142.57;224.58;388.29;230.09;421.12
284.87;4.6973;848.06;143.28;224.96;388.17;230.50;420.95
285.02;4.7142;846.92;144.00;225.34;388.04;230.91;420.78
285.16;4.7311;845.78;144.73;225.73;387.91;231.32;420.60
